IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,Solution,NVT Name,Summary,Specific Result,Impact,Affected Software/OS,Vulnerability Insight,Product Detection Result,CVEs,Timestamp,Result ID
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,10.0,Critical,30,VendorFix,"Update the PHP version on the remote host to a still supported
  version.",PHP End of Life (EOL) Detection - Linux,"The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:5.5.9
Installed version: 5.5.9
EOL version:       5.5
EOL date:          2016-07-21
","An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.",,"Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
",,2026-01-26T05:24:14Z,306b7c0f-b614-4fe8-93a0-7ab5645781eb
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 5.5.37, 5.6.23 or later.","PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     5.5.37
Installation
path / port:       80/tcp

","Successfully exploiting these issues allow remote attackers to
  cause a denial of service (use-after-free and application crash) or possibly execute arbitrary
  code or possibly have unspecified other impact via a large integer argument.","PHP prior to version 5.5.37 and 5.6.x prior to 5.6.23 on
  Linux.","The following flaws exist:

  - The 'spl_array.c' in the SPL extension improperly interacts with the unserialize implementation
  and garbage collection.

  - Integer overflow in the 'SplFileObject::fread' function in 'spl_directory.c' in the SPL
  extension.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2016-5770,CVE-2016-5771",2026-01-26T05:24:14Z,6929e48a-9ac4-47e2-9b8f-91a4db3b05b9
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.",PHP Multiple Vulnerabilities (Feb 2019) - Linux,PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     5.6.40
Installation
path / port:       80/tcp

",,"PHP versions before 5.6.40, 7.x before 7.1.26, 7.2.x before
  7.2.14 and 7.3.x before 7.3.1.","The following flaws exist:

  - Fixed bug #77269 (efree() on uninitialized Heap data in imagescale leads to use-after-free).
  (CVE-2016-10166)

  - Fixed bug #77270 (imagecolormatch Out Of Bounds Write on Heap). (CVE-2019-6977)

  - Fixed bug #77370 (Buffer overflow on mb regex functions - fetch_token). (CVE-2019-9023)

  - Fixed bug #77371 (heap buffer overflow in mb regex functions - compile_string_node).
  (CVE-2019-9023)

  - Fixed bug #77381 (heap buffer overflow in multibyte match_at). (CVE-2019-9023)

  - Fixed bug #77382 (heap buffer overflow due to incorrect length in expand_case_fold_string).
  (CVE-2019-9023)

  - Fixed bug #77385 (buffer overflow in fetch_token). (CVE-2019-9023)

  - Fixed bug #77394 (Buffer overflow in multibyte case folding - unicode). (CVE-2019-9023)

  - Fixed bug #77418 (Heap overflow in utf32be_mbc_to_code). (CVE-2019-9023)

  - Fixed bug #77247 (heap buffer overflow in phar_detect_phar_fname_ext). (CVE-2019-9021)

  - Fixed bug #77242 (heap out of bounds read in xmlrpc_decode()). (CVE-2019-9020)

  - Fixed bug #77380 (Global out of bounds read in xmlrpc base64 code). (CVE-2019-9024)","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2016-10166,CVE-2019-6977,CVE-2019-9020,CVE-2019-9021,CVE-2019-9023,CVE-2019-9024",2026-01-26T05:24:14Z,54ae23cd-fbc7-4f8a-9d6c-60a6462d3030
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     8.1.29
Installation
path / port:       80/tcp

",,"PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2024-4577,CVE-2024-5458,CVE-2024-5585",2026-01-26T05:24:14Z,8e61207d-677c-42b4-aaf9-4f92666a0239
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 5.6.29, 7.0.14 or later.","PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     5.6.29
Installation
path / port:       80/tcp

",,PHP versions prior to 5.6.29 and 7.0.x prior to 7.0.14.,"The php_wddx_push_element function in ext/wddx/wddx.c allows
  remote attackers to cause a denial of service (out-of-bounds read and memory corruption) or
  possibly have unspecified other impact via an empty boolean element in a wddxPacket XML
  document.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
",CVE-2016-9935,2026-01-26T05:24:14Z,79158e9c-459b-4005-a4a8-3442280c5fbe
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,Update to version 5.6.7 or later.,PHP < 5.6.7 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     5.6.7
Installation
path / port:       80/tcp

","Successfully exploiting this issue allow remote attackers to
  cause a denial of service.",PHP prior to version 5.6.7 on Linux.,"The flaw is due to 'type confusion' issues in
  'ext/soap/php_encoding.c', 'ext/soap/php_http.c', and 'ext/soap/soap.c' scripts.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
",CVE-2015-4601,2026-01-26T05:24:14Z,95622ad0-e9a0-4a8c-9fa8-bef97849d038
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",,"PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2022-31630,CVE-2022-37454",2026-01-26T05:24:14Z,a99c2c04-2dd0-4565-ab66-1542fab74c0a
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,WillNotFix,"No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,PHP is prone to a denial of service (DoS) vulnerability.,"Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       80/tcp

",,PHP versions through 5.6.27 and 7.0.x through 7.0.12.,"PHP mishandles property modification during __wakeup
  processing, which allows remote attackers to cause a denial of service or possibly have
  unspecified other impact via crafted serialized data, as demonstrated by Exception::__toString
  with DateInterval::__wakeup.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
",CVE-2016-9138,2026-01-26T05:24:14Z,edcd277e-3044-42f1-886a-94311e9afac6
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,WillNotFix,"No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP <= 7.1.5 Multiple DoS Vulnerabilities,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","Installed version: 5.5.9
Fixed version:     None
Installation
path / port:       80/tcp

",,PHP versions through 7.1.5.,"The following flaws exist:

  - CVE-2017-8923: The zend_string_extend function in Zend/zend_string.h does not prevent changes to
  string objects that result in a negative length, which allows remote attackers to cause a denial
  of service (application crash) or possibly have unspecified other impact by leveraging a script's
  use of .= with a long string.

  - CVE-2017-9119: The i_zval_ptr_dtor function in Zend/zend_variables.h allows attackers to cause a
  denial of service (memory consumption and application crash) or possibly have unspecified other
  impact by triggering crafted operations on array data structures.","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2017-8923,CVE-2017-9119",2026-01-26T05:24:14Z,bf4b9ba1-6465-44f2-a996-7a6b14740375
172.31.1.107,sqli.trabalho_vulnnet,80.0,tcp,9.8,Critical,30,VendorFix,"Update to version 8.0.30, 8.1.22, 8.2.9 or later.","PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Installed version: 5.5.9
Fixed version:     8.0.30
Installation
path / port:       80/tcp

",,"PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.","The following flaws exist:

  - CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML
  without enabling it)

  - CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())","Product: cpe:/a:php:php:5.5.9
Method: PHP Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.171722)
","CVE-2023-3823,CVE-2023-3824",2026-01-26T05:24:14Z,d4762dbe-fb80-46f3-bb53-9357016c8fb7
